ticker,Market Cap ,Price/Book (mrq),Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin (ttm),Operating Margin (ttm),Revenue (ttm),Gross Profit (ttm),EBITDA (ttm),Net Income Avl to Common (ttm),Total Cash (mrq),Total Debt (mrq),Beta,% Held by Insiders,% Held by Institutions
MMM,98.00B,7.96,Dec 31,"Sep 30, 2015",16.20%,23.16%,3.47,15.37B,12.54,4.97B,1.76B,11.25B,1.17,0.08%,68.70%
ABT,67.28B,3.23,Dec 31,"Sep 30, 2015",22.17%,15.98%,3.43,11.03B,14.94,2.52B,6.14B,8.36B,1.42,0.21%,70.50%
ABBV,99.61B,20.94,Dec 31,"Sep 30, 2015",12.86%,35.58%,5.69,15.53B,14.56,2.81B,9.31B,32.13B,1.58,0.10%,73.60%
ACN,65.94B,10.74,Aug 31,"Aug 31, 2015",9.84%,14.50%,1.98,9.81B,11.91,3.05B,4.36B,27.43M,1.03,0.21%,83.10%
ACE,36.74B,1.26,Dec 31,"Sep 30, 2015",14.24%,18.12%,2.19,5.93B,11.51,2.71B,2.85B,7.58B,1.16,10.74%,83.60%
ADBE,45.51B,6.58,Nov 28,"Aug 28, 2015",10.85%,16.82%,9.48,3.52B,39.38,494.98M,3.67B,1.91B,1.11,0.38%,92.30%
ADT,5.78B,1.81,Sep 26,"Jun 26, 2015",8.35%,19.70%,3.01,1.95B,5.92,297.00M,69.00M,5.23B,1.32,0.22%,122.20%
AES,6.77B,1.90,Dec 31,"Sep 30, 2015",3.80%,16.99%,1.63,3.09B,6.64,597.00M,1.89B,20.70B,1.26,0.26%,96.80%
AET,36.61B,2.39,Dec 31,"Sep 30, 2015",3.84%,7.61%,0.69,15.09B,7.90,2.30B,4.51B,7.84B,0.43,0.35%,90.40%
AMG,9.62B,3.61,Dec 31,"Sep 30, 2015",21.23%,33.14%,4.21,2.40B,10.89,538.30M,713.50M,1.80B,1.25,0.59%,100.60%
AFL,27.45B,1.59,Dec 31,"Sep 30, 2015",11.93%,20.44%,1.42,8.36B,6.88,2.51B,3.52B,5.92B,1.08,2.41%,67.40%
A,12.50B,3.07,Oct 31,"Jul 31, 2015",4.03%,13.07%,1.74,3.59B,10.16,575.00M,2.08B,1.66B,1.23,0.39%,85.20%
GAS,7.49B,1.97,Dec 31,"Sep 30, 2015",8.91%,19.58%,1.68,1.68B,5.91,394.00M,N/A,N/A,-0.38,0.58%,64.20%
APD,29.45B,4.06,Sep 30,"Sep 30, 2015",12.92%,19.04%,3.55,2.80B,12.46,1.28B,206.40M,5.88B,1.29,0.15%,88.70%
ARG,6.87B,3.60,Mar 31,"Sep 30, 2015",6.85%,11.87%,1.81,2.95B,9.91,367.19M,58.07M,2.83B,1.01,10.17%,81.50%
AKAM,10.94B,3.56,Dec 31,"Sep 30, 2015",15.32%,22.48%,5.07,1.35B,15.37,330.09M,667.85M,619.36M,1.02,2.80%,89.10%
AA,10.63B,0.87,Dec 31,"Sep 30, 2015",2.27%,10.91%,0.78,4.77B,5.04,466.00M,1.74B,9.28B,0.35,0.13%,62.50%
ALXN,38.30B,4.72,Dec 31,"Sep 30, 2015",9.24%,32.70%,16.40,2.06B,45.45,231.11M,1.46B,3.65B,1.26,0.36%,98.30%
ATI,1.48B,0.63,Dec 31,"Sep 30, 2015",-3.20%,0.30%,0.70,378.60M,14.22,-131.10M,197.50M,1.51B,1.98,1.14%,79.20%
ALLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGN,122.33B,1.67,Dec 31,"Sep 30, 2015",19.44%,13.64%,8.23,6.76B,21.13,-2.47B,2.07B,42.68B,1.19,0.23%,88.40%
ADS,17.98B,9.34,Dec 31,"Sep 30, 2015",7.93%,19.45%,5.26,1.66B,20.21,459.57M,977.34M,15.29B,1.39,2.31%,99.10%
ALL,24.45B,1.32,Dec 31,"Sep 30, 2015",7.02%,11.56%,0.72,13.13B,5.73,2.39B,3.94B,5.18B,1.21,0.27%,77.60%
ALTR,15.92B,4.76,Dec 31,"Sep 25, 2015",19.54%,24.11%,8.86,1.28B,31.70,337.84M,2.12B,1.49B,0.42,0.38%,90.60%
MO,112.34B,38.53,Dec 31,"Sep 30, 2015",27.91%,45.55%,6.52,10.16B,13.98,5.22B,1.91B,12.92B,0.89,0.15%,60.60%
AMZN,314.66B,24.89,Dec 31,"Sep 30, 2015",0.33%,1.70%,3.12,26.24B,44.73,328.00M,14.43B,18.59B,1.49,17.82%,67.50%
AEE,10.73B,1.52,Dec 31,"Sep 30, 2015",10.92%,22.10%,3.01,2.47B,8.29,595.00M,72.00M,7.16B,0.46,0.25%,66.40%
AAL,28.02B,7.57,Dec 31,"Sep 30, 2015",11.86%,17.12%,0.96,27.03B,4.58,4.93B,8.87B,20.56B,3.85,0.26%,73.80%
AEP,27.29B,1.53,Dec 31,"Sep 30, 2015",10.23%,19.84%,2.72,9.30B,8.90,1.77B,292.00M,20.21B,0.40,0.01%,68.40%
AXP,71.81B,3.39,Dec 31,"Sep 30, 2015",18.07%,28.31%,3.28,N/A,N/A,5.63B,20.42B,51.90B,0.87,0.19%,83.00%
AIG,75.14B,0.77,Dec 31,"Sep 30, 2015",7.94%,16.03%,1.57,30.80B,6.59,4.73B,13.98B,30.72B,1.22,0.03%,87.70%
AMT,41.38B,6.22,Dec 31,"Sep 30, 2015",13.94%,35.69%,12.76,3.01B,20.55,557.56M,287.40M,17.03B,0.81,0.11%,97.00%
AMP,20.22B,2.67,Dec 31,"Sep 30, 2015",13.38%,27.34%,2.20,10.31B,7.48,1.63B,5.88B,12.34B,1.40,0.25%,89.20%
ABC,21.26B,33.11,Sep 30,"Sep 30, 2015",-0.10%,1.01%,0.16,2.98B,13.84,-134.89M,2.17B,3.49B,0.70,5.53%,86.10%
AME,13.29B,4.02,Dec 31,"Sep 30, 2015",15.11%,23.14%,3.72,1.42B,13.88,606.02M,328.03M,1.92B,1.16,1.44%,93.60%
AMGN,118.66B,4.27,Dec 31,"Sep 30, 2015",29.98%,39.13%,5.60,15.64B,11.60,6.43B,31.12B,31.76B,1.26,0.13%,81.70%
APH,16.85B,5.34,Dec 31,"Sep 30, 2015",13.60%,19.94%,3.24,1.69B,14.00,756.80M,1.60B,2.85B,0.75,0.36%,101.40%
APC,31.02B,2.29,Dec 31,"Sep 30, 2015",-53.68%,-54.64%,4.38,15.08B,11.49,-5.84B,2.07B,17.44B,0.79,0.21%,86.50%
ADI,18.77B,3.71,Nov 1,"Aug 1, 2015",21.69%,30.40%,5.08,1.83B,13.58,709.27M,3.10B,893.00M,1.07,0.75%,88.30%
ANTM,35.01B,1.52,Dec 31,"Sep 30, 2015",3.70%,7.40%,0.41,17.02B,5.08,2.89B,20.98B,17.78B,0.60,0.29%,89.40%
AON,25.74B,4.33,Dec 31,"Sep 30, 2015",10.80%,16.74%,2.65,12.04B,12.33,1.25B,676.00M,6.13B,1.15,1.04%,90.00%
APA,18.70B,2.05,Dec 31,"Sep 30, 2015",-239.65%,10.13%,3.17,11.00B,4.74,-19.76B,1.66B,8.78B,0.84,0.45%,91.70%
AIV,5.77B,3.95,Dec 31,"Sep 30, 2015",22.98%,26.76%,10.87,603.74M,18.74,205.60M,45.24M,3.94B,0.23,0.91%,102.90%
AAPL,648.86B,5.46,Sep 26,"Sep 26, 2015",22.85%,30.48%,2.88,93.63B,8.16,53.39B,42.00B,64.48B,1.00,0.03%,60.20%
AMAT,20.11B,2.52,Oct 26,"Jul 26, 2015",13.57%,16.57%,2.02,3.84B,9.90,1.30B,2.74B,1.95B,1.93,0.21%,87.10%
ADM,24.21B,1.37,Dec 31,"Sep 30, 2015",2.54%,3.38%,0.41,4.77B,8.93,1.83B,1.14B,6.78B,1.22,2.23%,77.00%
AIZ,5.56B,1.21,Dec 31,"Sep 30, 2015",1.21%,2.27%,0.43,2.29B,12.08,125.57M,2.29B,1.22B,0.67,1.26%,97.80%
T,202.62B,1.66,Dec 31,"Sep 30, 2015",3.68%,10.10%,2.34,71.84B,9.96,5.12B,6.60B,130.13B,0.49,0.05%,63.20%
ADSK,14.09B,7.53,Jan 31,"Jul 31, 2015",-7.65%,2.14%,5.29,2.17B,66.81,-194.20M,2.39B,1.49B,1.91,0.21%,95.10%
ADP,40.23B,8.70,Jun 30,"Sep 30, 2015",13.48%,18.34%,3.51,4.51B,16.81,1.42B,3.21B,2.00B,0.85,0.14%,78.10%
AN,6.99B,3.15,Dec 31,"Sep 30, 2015",2.25%,4.32%,0.61,2.99B,12.33,462.80M,63.90M,5.41B,1.19,27.31%,69.30%
AZO,24.00B,N/A,Aug 29,"Aug 29, 2015",11.39%,19.17%,2.80,5.33B,12.84,1.16B,184.10M,4.67B,0.71,0.80%,97.80%
AVGO,33.06B,7.70,Nov 2,"Aug 2, 2015",16.28%,28.04%,5.42,1.88B,12.70,1.06B,1.35B,3.96B,0.91,0.04%,95.00%
AVB,23.84B,2.40,Dec 31,"Sep 30, 2015",39.05%,38.66%,15.85,1.69B,24.84,727.14M,318.56M,6.31B,0.07,0.45%,100.60%
AVY,5.96B,5.54,Jan 3,"Oct 3, 2015",4.77%,8.70%,1.10,1.65B,9.68,291.50M,189.20M,1.05B,1.11,0.47%,91.30%
BHI,21.28B,1.25,Dec 31,"Sep 30, 2015",-1.44%,5.51%,1.25,4.80B,8.36,-273.00M,2.04B,4.05B,0.81,5.53%,85.10%
BLL,9.29B,8.93,Dec 31,"Sep 30, 2015",3.67%,9.90%,1.48,1.67B,11.08,301.60M,244.40M,3.16B,1.14,1.25%,34.20%
BAC,184.51B,0.80,Dec 31,"Sep 30, 2015",20.25%,30.79%,2.51,N/A,N/A,14.77B,508.16B,516.91B,0.90,0.06%,63.20%
BK,47.90B,1.34,Dec 31,"Sep 30, 2015",17.80%,30.77%,-2.86,15.65B,N/A,2.59B,149.08B,58.01B,1.28,3.58%,83.80%
